ChEMBL_ID,SMILES,MW,LogP,HBD,HBA,TPSA,RotBonds,Rings,AtomCount,Lipinski,Veber,Ghose,Egan,PAINS,Brenk,Lipinski_Score,Veber_Score,Ghose_Score,Egan_Score,PAINS_Score,Brenk_Score,Quality_Score,Quality_Class
CHEMBL6512,CCCc1nc(Br)cnc1NS(=O)(=O)c1cccc2c(N(C)C)cccc12,449.37400000000025,4.211600000000003,1,5,75.19,6,3,27,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6800,COc1nc(Br)cnc1NS(=O)(=O)c1cccc2c(N(C)C)cccc12,437.3190000000002,3.2677000000000023,1,6,84.42,5,3,26,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6376,Cc1cc2c(cc1CC(C)N)OCO2,193.24599999999995,1.6134199999999996,1,3,44.480000000000004,2,2,14,Pass,Pass,Fail,Pass,Clean,Clean,1,1,0,1,1,1,5,Good
CHEMBL6368,CC(N)Cc1ccc(I)cc1,261.106,2.1809000000000003,1,1,26.02,2,1,11,Pass,Pass,Fail,Pass,Clean,Alert,1,1,0,1,1,0,4,Moderate
CHEMBL6380,COc1cc2nc(N3CCC(C(=O)Nc4ccccc4)CC3)nc(N)c2cc1OC,407.4740000000003,3.0843000000000007,2,7,102.6,5,4,30,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL415288,COc1cc2nc(N3CCC(C(=O)N(C)Cc4ccccc4)CC3)nc(N)c2cc1OC,435.52800000000025,3.1042000000000005,1,7,93.81,6,4,32,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6627,CN1CCN2CC(c3ccccc3)c3ccccc3C2C1,278.39900000000006,3.1206000000000014,0,2,6.48,1,4,21,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL404992,CCCN1CCN2CC(c3ccccc3)c3ccccc3C2C1,306.4530000000001,3.900800000000003,0,2,6.48,3,4,23,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6543,CCc1nc(Br)cnc1NS(=O)(=O)c1cccc2c(N(C)C)cccc12,435.3470000000002,3.821500000000003,1,5,75.19,5,3,26,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL269537,COc1cc2nc(N3CCC(CC(=O)NCC4CC4)CC3)nc(N)c2cc1OC,399.49500000000023,2.3619000000000003,2,7,102.6,7,4,29,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
